,댓글
29,선수생활동안 다른선수들 보다 터무니없이 낮게 받아왔던 점수때문에 얼마나 마음고생을 많이했으면 쇼트때 받는 점수랑 분위기로 프리 점수까지 예상이 가능한거냐..만약 내 딸이 잘해놓고도 저렇게 금메달 뺐기면 맴찢 장난 아닐거같다.. ㅠㅠ
30,뭐가 됬든 가장 우리나라를 빛낸 인물이고 항상 존경합니다 수고하셨습니다 정말...
31,"그녀이기에 레전드입니다!! 김연아선수 지금은 은퇴했지만, 선수시절 우리 두 눈으로 경기를 볼수있어서 너무나 행복했습니다"
32,6:54 인형도 아름답게 줍는 그녀는 대체
33,마오는 김연아의 라이벌이 아니다..마오가 먼저 세계적인 선수였었고 연아가 나중에 스타가 되다보니 라이벌로 엮는데 마오는 연와와 비교대상이 아니었다는건 전세계인은 알고있다..다만 일본인과 한국에서만 라이벌구도 였을뿐 세계에선 연아만이 독보적인 선수였다는걸 알아야 할것이다
34,아직도 연느가 눈물 흘리는 저 모습은 너무 마음 아픔... 나도 눈물 남 ㅠㅠ 어렸을 때부터 의연하고 어른스러운 연느의 모습이 존경스럽고 좋았지만 저 때 애써 웃을 땐 차라리 화나고 슬픈걸 보여줬으면 싶고 더 속상했던 기억 ㅜㅜㅜ
35,외신에 비하면 우리나라 매체와 책임있는 해당관계자들이 너무나도 조용했던 사건. 국내에서는 그렇게 지독하게 권력을 과시하던 권력자들이 정작 이럴때 세계무대에서는 숨소리도 못낸다는걸 눈으로 직접 목격하던 사건. 2022년 지금도 전혀 변함이 없다.
36,전세계 모든 역대 올림픽 통틀어 클린연기를 하지못한 선수가 금메달 받은 유일한 경기. 세계선수권과 ISU주관 대회에서 한번도 우승하지 못했던 선수가 금메달을 받은 유일한 경기. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
37,이 날 엄청 울었던 기억이 나네요. 너무 아쉽고... 덤덤하게 받아들이는 김연아 선수 보면서 정말 가슴 아팠었어요.ㅜㅜ
38,"김연아님은 진짜 스포츠계에 전설로 남으실 인물.. 어떤 스포츠 종목 다 비교해 봐도 저정도로 압도적인 기록을 세운 선수는 거의 없던 걸로 압니다. 진짜 과거 연습 보면 사람이 할수 있는 한계를 아득히 넘은 훈련을 하셔 왔던데, 너무 존경합니다"
39,한나라 빼고 전세계 해설자가 분노한 때지 ㅠㅠ 다 이해못하던데 ㅋㅋ 김연아는 다른나라가 자기나라가 졌어도 ㅇㅈ하는분이라 설명이 안되지
40,이때 생각만 해도 또 열받는다. 형광나방의 공포.
41,"김연아와 코치들은 경기전에 이미 알고 있었지요. 금메달이 아니라는 것을. 경기후 표정, 소치마스코드 목조르는 동작, 점수발표후 코치들과 같이 웃을때 짐작할 수있습니다. 지금봐도 김연아선수가 대단하고 또 가슴아픈것은, 그걸 알고도 이런 경기를 했다는겁니다. 그 멘탈의 강함은 상상할 수 없을 정도지요. 또 하나  '너는 금메달이 아니야' 이 정보를 누가 알려줬을까요?  보통 선수보호를 위해 시합전에 감춰야되는 정보를 선수와 코치 모두에게 알려준사람은?"
42,"은메달로 만족하고, 최선을 다했다는것에 초점을 맟추고 결과에 만족하는게 진짜 프로지.. 그저 갓연아다 진짜...ㅠㅠ"
43,볼때마다 러시아에 빡치고  맘아픈 영상  ㅠㅜ
44,근데 진짜 소트니코바는 피겨 100년 역사상 독보적인 무명 하루 반짝스타임.....국제대회 우승은커녕 세계선수권 메달조차도 없슨 쩌리 무명이 그 종목을 거의 10년간 대표했던 간판선수를 이겼지만 러시아 피겨팬들조차도 인정안하는 중ㅋㅋㅋㅋ
45,이때 움짤중에 은메달 잠깐 금빛으로 반짝이는 거 진짜 소름돋았는데 무슨 하늘도 인정한 것 처럼
46,진짜 너무 속상하다 울음 참는듯한 표정이 순간 보이는데 아무것도 해줄수 있는게 없었다는게 아직까지도 너무 미안하다..
47,러시아도 쓰레기지만 연느님께 너무 미안하다 우리나라가 강대국이아니라서 미국이나 다른 강대국이었다면 저런 대우를 받았을까
48,김연아가 진정한 금메달리스트라는 건 러시아 빼고 다 안다 ㅇㅇ 저때 김연아가 맸던 은메달보다 빛나는 금메달은 없을 것임 김연아 덕에 피겨 유망주도 많이 발굴되고 있고 지원도 많이 늘었음 여러모로 대단하고 아름다운 사람
49,연아는 세계 피겨챔피언이고  사람들의 우상이었고 우리나라의대표였고 자랑거리였고 모두의 딸 언니
50,전 세계가 한마음 한뜻으로 개빡쳤던 순간. 썩은 올림픽에서 홀로 싸운 우리 김연아 선수에게 무한한 박수를 보냅니다.
51,시바 이 두 해설자위원들 코로나로 부터 자유롭기를 기도해요
52,ㅋㅋㅋㅋ저거 금 받자마자 뛰어간거 심사위원임...진짜 어이없지않음???다 짜고친걸 일부로 티내나
53,심판들 분명 연아가 점프 실수 하나라도 할줄 알았는데 프리까지 클린하니까 개당황한거 goe에서 느껴짐ㅋ 진심으로 목숨걸고 솥뚜껑한테 금줬네 푸틴이 겁나 협박했겠지 ㅁㅊ
54,김연아선수는 우리에 영원한 금메달리스트 입니다.
55,이탈리아 해설자의 마음이 러시아와 일본?빼고 다같은 마음이었습니다..아직되열받네..소트니이전 점수를몰랐는데..같은프로로 에버리지 180인선수가 하루아침에 무슨 220이넘나..이건 코믹이다
56,너무 미안해서 눈물이 난다
57,저때 진짜 지켜주지도 못하고 진짜 맘 찢어짐.............ㅠㅠ
58,"몇몇 사람들이 소트니코바가 김연아보다 프리에서 점프 한개를 더 뛰어서 금메달이 정당했다고 했는데, 프로그램 난이도 자체는 김연아꺼가 훨씬 더 난이도가 높죠. 당장 스텝시퀸스만 하더라도 김연아가 훨씬 더 어려운 기술을 썼는데도 스텝3주고 소트니는 스텝4 ㅋㅋㅋ 글구 쇼트에서도 김연아가 어려운 난이도의 트리플 점프를 구사했는데 소트니보다도 적게 줄랑말링하고… 소트니는 그냥 넘어지지만 않으면 가산점 3점을 챙겨간 반면 김연아 선수는 완벽한 자세로 뛰었어도 1 아니면 2 가산점밖에 못받았더라구요."
59,"대놓고 외신이 강도,명예 실추,금메달 뺏겼다 라는 단어들 썼을 때...ㅋㅋ"
60,이탈리아 교포로서 이 이탈리아어 버전의 해설은 처음 보네요. 해설자들의 분노가 깊이 느껴집니다. 저도 화가 나고 가슴이 먹먹하네요. 김연아는 영원한 영웅입니다.
61,공산주의의 무서움을 보여준 올림픽.  이래서 러시아랑 중국은 안되는거다.  연아 금메달 땄으면 못 돌아가는 사람 여러명이었을거다. 진심.
62,"근데 더 대박인건 그 와중에 손연재가 소트니코바가 금메달 들고 찍은 사진에 좋아요 눌렀다는거..ㅋㅋㅋ 처음에 알았을땐 진짜 충격이었음, 둘다 좋아했었는데 정.뚝.떨."
63,연아 언니 꽃길만 걷자 ㅠㅠㅜ 결과나올때 웃는게 진짜 맴찢....진짜 이건 사람이 양심이 있는데 그걸 팔아먹네 그래도 우리 연아언니가 세계최고야 ㅠㅠㅠ 나쁜 러시아 심판 놈들;;
64,러시아는  금메달을 얻었고 피겨 스케이트는 더 이상 스포츠 취급을 받지 못하게 된 사건.
65,재능있는 사람이 노력까지 하면 어떻게 되는지를 똑똑히 보여주는 사람이 김연아...
66,해설 시원하게 맞는 말 하네..
67,"아니 클린 연기랑 넘어진 연기 중 넘어진 연기가 이긴게 말이됨?? 예술성은 말할 것도 없고 기술성에서도 개딸렸는데,, 모두가 연아가 금메달이란걸 알고 있음"
68,"좀 외람된 얘기지만 02월드컵에 대해서 스페인 사람들이 느끼는 감정이 우리가 느끼는 감정이랑 비슷할 거라고 생각함,, 다른 경기들과 비교했을 때 스페인전은 정말 우리에게 유리한 오심이 많았음,, 스포츠는 공정하고 정정당당하게 실력을 평가받을 때 비로소 빛나고 의미 있는 거니까 ,,"
69,가끔 개빡치고싶을때 보는영상이랍니다...
70,진심... 소트니코바가 기뻐서 달려가는 모습보고 손발 덜덜 떨릴 정도로 열불났었는데 정작 김연아 선수 본인은 덤덤하게 받아드리는 모습 보고 저까지 냉각된듯 급진정됐었죠. 결과가 뭐가 됐든 김연아는 김연아다. 금메달 없이도 존재만으로 증명되는 김연아 증맬루 싸랑해
71,"요즘 피겨가 갑자기 좋아진 어린 사람임. 그래서 2주를 찾아보고 돌려봤는데 온통 소치올림픽 오심이었다.. 아직 잘 몰라 기술, 가산점이 어디서 붙는지 모르지만 이건 완벽한 연아선수의 경기였고 완벽한 오심이었다.... 대체 누가 이 결과를 인정할까.... 금메달... 다시 돌아오기를 바란다..."
72,3:10 신나서 뛰어가는거 개역겹다;;;;
73,끝나고 기자회견때 연아에게만 질문이 가니 빡쳐서 나간 나방이 생각나네.네 생각에 네가 금메달을 훔친게 아니고 땃다고 생각하는 자체가 망상이며 도둑질이야
74,"다시 봐도 열받네. 그 와중에 의연한 울 여왕님의 표정... 절대 품위를 잃는 법이 없잖아. 소트니야, 양심 있으면 반납해라, 금메달. 늦지 않았다. * 팔려서 그걸 집에 두고 어찌 사냐, 비굴하게."
75,개인적으로 이 경기가 피겨스케이팅의 무덤이라고 생각 됨.. 이 이후로 쿼드의 시대가 열리면서 원래 피겨의 본질은 퇴색되고 이젠 가볍고 어린 선수들 (특히 러시아..) 중에 누가누가 잘 뛰나 대회가 되었음. 안 그래도 짧던 선수생명은 더 짧아졌고.. 이럴거면 그냥 얼음 위에서 하는 육상대회라고 하지..ㅋㅋ 퀸의 스케이팅이 참 그립습니다..
76,왜 우리 스포츠를 망치려고 하나요... 진짜로 자신들의 스포츠를 사랑하는 사람이 저 상황에서 저렇게 말할 수 있을 것 같네...
77,그때 생각이 나면서 눈물 났어요. 진정한 여왕은 연아선수! 고맙고 사랑합니다.
78,이탈리아 해설자분 내취향 ㅋㅋㅋㅋㅋㅋ
79,난 처음 사람들이 김연아에 열광할때 직장생활이 너무 힘들고 야근에 너무 살기 힘들어서 어휴 걔가 누구인데 난리들인가 하고 부정적으로 생각했지...근데 우연찮게 본 올림픽에서의 연기력과 인간같지 않은 아름다움에 놀랐고 한국국기가 맨 위로 올라간거보고 자랑스러웠으며  다큐에서 본 열악한 환경과 통증과의 싸움.울면서도 스케이트를 타는 모습을 보고
80,해설진반응 나오는순간 나도모르게 울컥했네...
81,연아 킴   세계적으로  대체불가한 인물 중 하나 .....
82,그때 생각하면 정말김연아 선수  얼마나 허탈했을까 얼마나 눈물이 나던지  김연아 선수 당신은 피겨 여왕입니다 영원히 국민들을 기쁘게 해줬던 울 멋진 선수 앞으로 좋은일만 가득하길 바랄께요🇰🇷
83,금메달은 오니었지만 세계가 인장하는 은메달이었다 그리고 러시아의 수준이 드러나는 순간이기도했구 나름 멋졌어 그냥 금메달보다 완젼 기억에 남는 진짜 멋진 은메달이었는데 오히려 모두가 분노하면서 축복하면서 완전 뇌리에 빡 하고 박히는 그런 순간이라 마지막무대라서 더더더 좋았음
84,왜 우리 스포츠를 망가뜨리려고 하나요.. 해설자의 진심이 담긴 소리..
85,김연아 실력도 실력이지만... 인성과 외모 그모든게 완벽한 사람...
86,만들어진 영웅과 만들어준 영웅의 차이지 맨탈이 나갈만 상황에도 웃음을 잃지 않는 영원한 여왕
87,이탈리아 제일 대놓고 빡쳐한닼ㅋㅋㅋ기분은 백번천번만번 이해감ㅇㅇ 지금도 빡친다 금메달 훔쳐간 형광나방...
88,대한민국 스포츠 외교력이 가장 아쉬웠던 순간. 편파판정 해달라는게 아니라 안당하게 하고 우리에게 말도 안되는 판정 내린 심판이 불이익을 받게는 해야함.
89,어차피 금메달은 김연아인건 세상이 다아니까...퀸연아는 우리 마음속 영웅이었다.
90,진짜 저건 ㅇ있을 수없는 일임... 진짜 억울함..
91,아직도 제대로 잘 못보는 영상 ㅠ 그날의 분노와 허탈감을 잊을 수가 없습니다... ㅜㅜ
92,이때 라이브로 김연아 연기보고 진심 울었는데ㅠ
93,다시봐도 ㅂㄷㅂㄷ.... 소트니코바가 가서 안긴게 심사위원임 ㅋㅋㅋㅋㅋㅋ 말이됨?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 심사위원이랑 친목질 오지구 지리구 레릿고찍엇네 아주
94,우리나라에서 불모지와 같은 스포츠에서 나온 위대한 선수중 1인. . .김 연아! 순리대로 바르게만 흐른다면 문제 없겠지만 보이지 않는 힘이 존재하는 세상이기에 국적이 약점이 된 우리나라 스포츠 선수중 한명이죠
95,솔직히 이때 생각하면 엄청 울분터짐.. 그래도 김연아는 그날 금매달이다.. 갓연아는 변하지않아
96,분노해 주는 해설자들 진짜 멋있다 금메달 열개 줬어도 부족했을 퀸이다 젠장 왜 아직도 자꾸 눈물 나냐
97,저때 압박 엄청 받았었는데 자기 딸 지켜보는 어머니 마음은 얼마나 무너졌을까..ㅠㅠㅠㅠㅠ
98,이 경기는 사실 피겨스케이팅이란걸 모르는 사람인 제가봤을 때 김연아 잘했다. 생각했었음. 금메달딴 불곰국년의 무대를 봤을때 라면스프없는 라면이었지만 김연아 무대는 그냥 진수성찬이 올려진 밥상 그 자체였음.
99,진짜 너무 화가치밀어 오르는게  소트니코바 저년이  금메달 따자마자 달려가서 껴안는 저 금발 할매가 점수 매겨주는 심판인데  저거 ㅅㅂ진짜 문제 있는거 아니냐;;  하아.....
100,김연아 선수는 언제나 이런결과들을 받을때마다 어느정도는 예상하고 있다고 하네요.. 참 안타까운 현실입니다..
101,전세계피겨인들은 다안다. 그녀는 피겨역사상 가장위대한 선수라는것을 카트리나비트도 그가 최고라고 했다.
102,"점수 나오고 시원하게 웃는 김연아를 보고 완전 반했습니다. 보통 인간이라면 결과에 집착하는게 당연한건데, 김연아는 정말 훌륭한 스포츠우먼입니다."
103,이탈리아분들께 참 감사하기도 하고 두분 다 너무 귀여우신듯 ࠅ ヲ ㅋ꙼̈ ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ㅋ꙼̈ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ
104,상황 대처 ㅈㄴ 멋있다.
105,자존심 엄청 상했을 거 같은데 멘탈이 진짜 갑이다..그냥 멋있다는 말 밖에 안 나옴..
106,앞으로도 절대로 나올수 없는 레전드 기록을 가진 여왕
107,저거 생방송으로 본사람으로 서 말하자면 진짜 말이안됨 ㅋㅋㅋ
108,와 진짜 내가 연아 선수였다면 저기서 바로 오열했을것 같아 ㅠㅠㅠㅠㅠㅠㅠ
109,해외 해설자분들도 화를내꺼면서까지 인정해주고 정말공정하게바라봐주시고 감사하네요. 이건우리나라도배울점인듯...
110,근데 정말 해설 위원들이 피겨라는 종목을 사랑하는 게 보인다.
111,세계 제일의 장인이 만든 최고의 작품을 이길려면 조작과 폄하를 할수밖에 비록 은메달 이었지만 지나고보니 이게 김연아의 위대함과 가치를 더 높여줬음 조작없이는 이길수 없는 선솨
112,그래도 저때 이탈리아 해설가들이 대신 화내줘서 그나마 마음이 좀 시원했네요
113,더이상 피겨가 좋지도 매력있지도 않은 이유가 바로 이것. 대놓고 비겁했어;;
114,언젠가는 꼭 다시 금메달이ㅠㅠ 울 연아퀸에게 제주인에게 다시 돌아오길 기도해요..ㅠㅠ♡♡♡ 만약 메달에게 마음이 있다면.. 울 연아퀸의 소치금메달은.. 그 못난이 집에서 아직도 울고 있을 꺼에요.. 연아퀸에게 가고 싶다요..ㅠㅠ
115,김연아는 진짜 역사로 남을 사람이다 이건 그냥 넘사벽 그 이상 수준이다
116,외국에서 이렇게 극찬을 받는 모습을 보니 벅차네요 ㅠ
117,이건 볼때마다 눈물나네요..
118,마라톤과 같은 매일매일 혹독한 연습 실력발휘 유지 하는것도 쉽지 않은데 언제나 그녀는 완벽함를 보여 주었다 훌륭한 대단한 선수다♡..♡
119,저건 도둑질이죠  뭐 저건 너도 알고 나도 알고 모두가 아는 일....개최국이란 이름으로 하는 도둑질
120,실력이 너무 띄어나서 메달 따위는 필요없었던거예요 우린 연아의 실력이 아름다운 학 이라는것을 잘알고 있잖아요 세계가 인정하고 있어요 그리고 즐거운 감동을 주는 연아에게 감사하고 있어요 그동안 수고하셨고 건강한 모습으로 우리 기억속에 연아킹을 잊지않을겁니다.
121,진짜 존나 어이없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ김연아도 존나 어이없어서 웃잖아
122,아무도 인정하지 않는 금메달과 누구나 인정하는 은메달 이것이 품격이다
123,다시 봐도 빡친다 진짜 그 와중에 김연아 그냥 받아들이는 거 개 멋지다 나같으면 빡쳐서 점수보고 난리칠 것 같은데 개 멋져 역시 퀸연아 진짜 피겨 역사상 다시는 이런 사람 없음 실력 인성 모든 걸 가졌어 ㅠㅠ
124,경지에 다다라서 자신이 최고임을 모두가 인정하기에 메달 색 때윈 상관 없을 정도의 경지에 다다른거군요 ..
125,21세기이후  참가한 모든 피겨 대회에서 시상대에 오른 유일한선수.
126,이게 진짜 더빡치는건 소트니코바는 경기중에 삐끗해서 넘어질 뻔 했다는거임 편파판정 받을거면 최소한 실수라도 하지말던가 실수 한 사람이 세상완벽한사람보다 점수높은게 말이되냐
127,난 피알못이지만 다들 허우적 거리는 오리를 보는거 같아서 저게 뭐 아름다워라고 생각했었는데 퀸연아의 연기를 본 후 아 이게 피겨구나 아 이렇게 아름다운 종목이구나 라는걸 느꼈음 아마 나만 그렇지는 않을거라 생각함
128,이탈리아 해설에서 분노가 느껴진닼ㅋㅋㅋ 아니 근데 진짜 저게 말이 돼.....?!
129,내가 본 모든 스포츠를 통틀어 플레이가 아름답다고 느끼게 만든 선수가 딱 두명이 있다. 조던과 김연아
130,소트니코바라는 선수가 차라리 진짜 잘했다면 이렇게 화나지도 않지 어찌 그런 무대를 금메달을 줄수있어
131,ㅠㅠㅠㅠㅠ 맘아프다
132,이건 지금봐도 맘  아포요
133,이태리에섴ㅋㅋㅋㅋㅋㅋ소트니코바랑 김연아비교대상이아니래ㅋㅋㅋㅋㅋㅈㄴ당연한말인데 진심담은빡침이느꺄짐
134,그래도 전세계가 인정하고 분노한다는 것 자체가 김연아선수의 위엄을 보여준 것 같아 대단하네요 가치가 떨어진 메달따위 중요하지않아요 멋지십니다
135,자국 선수 냅두고 저런 해설하기 어려울텐데 멋있다ㄷㄷ
136,다른 사람 그것도 다른 나라의 전문가들이 저렇게 완벽하다고 할 정도인데 은메달을 받다니.. 김연아는 저거를 한 뒤에 얼마나 기쁘고 후련했을까 자기도 알텐데 자기가 세계최고의 무대를 보여줬다는 것을 근데 은메달을 받다니 얼마나 억울할꼬...
137,진짜 이날 클린한거 보고 금메달이다 했는데 분해서 며칠을 분노로 살았네 !!!
138,저때 은메달 받고 침착해보려고 애쓰는 연아를 보고 너무 슬펏다 ㅠㅜ
139,2013 파이널에서도 쇼트에서 기술적으로 문제없던 점프에 롱판정을 주는걸 보고 분위기를 읽었던 연아가 레미제라블이란 역대급 명 연기를 보여준다음 돋아난 소름에 비하면 당연한 점수인 148점을 연아가 입틀막하며 깜놀하는 이유는 예상했던 프리 점수보다 훨씬 높게 나와서라 생각합니다.
140,이때 미국 유학중에 논문 쓰다가 경기 봤는데... 개빡쳐서 도서관에서 나도 모르게 소리지름.....(소리지른후 바로 주변에 사과함 ㅠㅠㅠ) 지금도 생각하면 빡쳐....
141,"전세계가 기억하고 있고, 영원히 기록되고 회자될 사건임. 김연아 선수는 소치올림픽 금메달 입니다."
142,이미 금메달은 땄고 이후 4년간 준비했기 때문에 후회없이 경기한 연아님께 박수를
143,"이태리 해설진의 저런 감동적인 해설.. 참 예술의 본고장 이태리인 답다!!  한국 해설자 보다 김연아에 더 열광하는 이태리해설자, 독일 등 구미 선진국 해설자들 아직도 인상깊다."
144,선이 예술~ 우아하고 기품있고 불모지 한국에서 어찌 연아같은선수가 나왔는지 자랑스럽네요 지금 많은 선수들이 뛰고있지만 피겨하면 연아입니다♡
145,비록금메달이 아니지만 은메달이기에 우리에게 더욱 오래 아름답게 기억될겁니다
146,이때 메달의 가치 금메달: 노란 황금 똥 은메달: 다이아몬드 동메달: 동메달
147,러시아라는 나라의 천박한 수준을 전세계에 보기 좋게 광고했던 올림픽...
148,무슨일이있든 김연아 선수는 세계에서 제일 최강이다 .
149,전 아직도 2014  경기를 못봅니다 눈물이 나서요ㅜㅜ
150,"아무리 비유적인 표현이라도 ""금메달보다 값진 은메달"" 이런 표현 별로 안 좋아하는데 이거야말로 ""금메달보다 값진 은메달""인 상황"
151,앞에 쿼드따위 붙지않아도 아름다운 김연아의 연기 진짜 대단해!!!
152,다시는 저런일 없기를 바랍니다 ㅠㅠ.  점점더 대한민국의 위상이 높아지는중이니
153,정말 안타까운 ......  ㅠㅠㅠㅠㅠㅠ
154,이때 연아선수 우는순간 마음 찢어짐 진심…
155,다시봐도 속상하다 진짜 ㅠㅠ 전무후무한 기록을 남길 수 있었는데 자신의 실수도 아닌 심판 매수로 인한 2등이라니
156,에효... 안타까운 순간.. 우리나라 국민이라서라기 보단 .. 아니 뭐 전혀 아니라고는 할 수 없지만 그래도 다른 나라 해서러까지 저렇게 말할 정도였으니 너무 안타까운 일이지..ㅠㅠ  그나저나 손뭐시기는 유튜브광고 짜증날 정도로 쏟아져나오네...
157,시간이 흐른 뒤라도 찾아왔으면 하는 금메달
158,"김연아는 역사상 가장 위대한 은메달을 가졌고, 소트니코바는 역사상 가장 명예가 없는 금메달을 가졌다."
159,다이아메달을 주고싶지만 금메달 밖에 없으니 그나마 비슷한 은메달을 준거 같네요. 김연아 선수를 담기엔 금메달로는 부족한 거 같아요.
160,정말 김연아 연기 새벽에 일어나서 실시간으로 처음부터 끝까지 보면서 이건 금메달이라고 이게 금메달이 아닐 수 가 없다고 정말 너무 전부 완벽해서 감동받고 있었는데 결과가 은메달이래서 이때 새벽에 너무 화났었음ㅜㅠㅋㅋㅋ
161,소트니코바는 저이후로 본적이없다 러시아란 저런나라임 선수들 약처먹이고 그저 금메달만들려는
162,와근데 앞에 엄청난 멘트와 비유로 김연아 극찬하는거 봐도 눈물난다... 얼마나 완벽함을 표현할 길이없었는지 느껴짐..
163,언니 진짜 멋져 내가 태어나서 본 사람들중에 우리엄마 빼고 가장 멋져 세상에서 제일 멋져 사랑해언니 ㅠㅠㅠㅠㅠㅠㅠㅠ멋져ㅜㅠㅠ
164,결국 2022년에 소트니코바 사건 시즌2가 발생했다
165,시간지날수록 김연아 선수 메이크업도 세련되게 발전하네요^^김연아선수 넘 이뻐요
166,"저 상황을 모르는 사람들을 위해서 적어두는 건데, 사실 저 당시에 기자들 해설자들 언론사들 사이에서 말이 돌았었던게 있는데, 저 당시에 러시아가 심시위원을 매수해서 점수를 조작할 것이라는 의견이 절대 다수였었습니다. "
167,"러시아가 아무리 그래봤자 전세계 모두가 김연아는 완벽했었고, 여왕으로써 마지막을 장식했다는걸 알고있다 수치들아"
