,댓글 작성자,댓글,좋아요 개수,하트 유/무
18,조조수현,컨텐츠 자체자막달아서 해외에 제발 보여주세요!,6,없음
19,백지선,누가 그러더군요 독도 갈 때 일본인들은 여권을 가지고 가죠? 한국인들은 그냥 간답니다^^,3.9만,없음
20,건방진,근데 솔직히 자기 땅도 아닌 일본도 이런 행사를 지자체에서 진행하는데 우리도 국민들이 개인적으로 하는 행사나 이런거 말고도 더 많은 행사 했으면 좋겠다 ㅠㅠ,413,없음
21,아람몬_1022,이래서 일본인들이란..;ㅉ 한국에 미안한마음을 가지고있는 일본인이 있는지 궁금하네 사과하기에는 때가 지났어,361,없음
22,ym k,우리나라가 지금보다 더 강해져야하는 이유가 이 영상에 다 있네요. ㅜ 대한민국국민여러분 화이팅입니다,747,없음
23,kw y,대체로 왜소한 일본인들 앞에 큰 장정 3명이 있으니 든든하네요,262,없음
24,스로,역사를 멋대로 바꾼건 미래도 좋지 못하게 바뀌겠죠..,0,없음
25,..,김구라 진짜 많이 참고 있는 게 눈에 보인다,408,없음
26,244임,저는 개인적으로 이건 일본 나라 자체가 나쁜게 아니고 나라는 좋지만 사람들이 나쁜거라고 생각합니다 이건 개인적인 생각이기 때문에 화내시지 말아주세요!,4,없음
27,리버,"저거는 독도도 독도지만 무척 무례하다고 생각함. 한국인 일행분들은 정식으로 승인을 받고 취재를 하는 상황에서 뭣도 모르고 욕부터 박는 일본인들..그냥 자기가 보고 싶은대로 세상을 보는거 같음. 자신의 주장을 관철할 수는 있다지만, 거기에 근거가 없다면 그냥 쓰레기일뿐임.",1.3천,없음
28,paper tiger,"인간이살면서 아는게없는데 욕심만많으면 어떻게 망해버리는지 정확하게 알려주는 그모습들, 이 시대를 살아가면서 참된 본보기가 되어주는 희생(?)과도 같은 찌질함에 경의를표합니다.",309,없음
29,지그미니,저 일본인들도 어떻게 보면 불쌍한거지 지들 정부가 대놓고 조작에 은폐에 거짓말하는 것도 모르고 세뇌당해서 저게 진실인줄알고 사는거잖아 이래서 나라를 이끄는 정치인들이 어떤 인간인지가 중요하지  아이들에게 부모의 가정교육이 아이들의 인생을 좌지우지할만큼 중요한것처럼 나라가 국민들에게 올바른 역사관을 인식시키는게 정말 중요하다는것을 일본을 보면서 느낀다,305,없음
30,미카💖,"솔직히 다른 나라에서도 독도 우리 땅이라고 하고, 일본 정부도 인정했는데  그러면 진짜 자기들끼리만 싸우는 중인 거 아님? 이 정도면 밖에서는 이미 싸움 끝남",4,없음
31,최희수,"I am a student at Jeonju High School. Watching this video, I was disappointed with the behavior of Japanese people. Conflicts would not have arisen if they had lowered their voices and spoke slowly without being angry. It will also be very helpful in resolving conflicts that have not been resolved until now. However, I do not think it is appropriate for Japan to be angry and not listen to Korea at all. I think that they need the ability or courtesy to try to listen to the other person's opinion even a little and if there is a problem, explain it with appropriate grounds. Before I end the article, I would like to say something. Dokdo is recognized as Korean territory by the whole world except Japan, and some Japanese people also recognized it. I would like you to have doubts about claiming these objective facts on fabricated grounds, and please reflect on them. And through this, I hope that Japan will know the truth about the atrocities that it has done to Korea and apologize for it.",44,없음
32,빙아현,진짜 난폭하고 무례하다 ㅋㅋ 우리나라는 일본이 와도 저렇게는 안한다 그리고 상식 없는건 지네고,0,없음
33,수렴렴 할때 계산산 하다 빡친 현우진,ㅋㅋㅋ 더 웃긴건 일본의 대부분의 역사학자들은 독도가 한국땅인걸 알고있다는 것 ㅋㅋㅋㅋㅋㅋㅋ 그저 왜곡 그 자체,1.6천,없음
34,윤은서,12:22 와 솔직히 참는거에 한계가 온다 ㄹㅇ...,404,없음
35,ddong,7:52 여기 아저씨는 진짜 순순히 인정 하네 ㄷㄷ 이런 사람들은 진짜 욕 하지 말아야함,503,없음
36,comedy mk,펀드니 주식이니 코인이니 다필요없는거같음 어렵기만하고 ㅠ 뱤/캬라/퓰/뱅/은 1도없음 진짜 너무 편하고 빠르고 ...ㄷㄷ,669,없음
37,장피에르,우리나라 학생들에게도 역사관을 가르쳐야합니다,73,없음
38,mr punitgour,뱤@캬@라!퓰!뱅 ㄷㄷ 직장인들 주시 비코로 지금 다 죽을라고하는데 나만 이거 알아서 살려줬네,1천,없음
39,김지환,일본 사람이 예의가 바르다는 것은 일본이 이미지 관리 차원에서 구라 친거 였네요 정말 일본은 다 문제네요 소수의 사람 빼구요,4.1천,없음
40,홍준성,김구라 선생님께서도정말 대단하시다.. 그 화를 다참으시고.. 그래도 떳떳히 취재 잘하셔서 존경스럽다..,174,없음
41,오주영,"난 적어도 평소에 일본정부는 미워해도 국민은 미워하지말자라는 신념을 가지고 있었는데 그 신념을 비웃기라도 하듯 일본 국민들의 가치관,태도부터가 문제네 우리가 독도가 우리땅이라는 걸 주장할때도 일본입장을 들어보려고 하는데 쟤네는 듣는거부터가 글러먹었어",3천,없음
42,유재경,0:35에 뭐하러왔냐면서 말해주려고 하니까 닥치라고하고 다시 질문 번복하는거 레전드네 진짜 능지 ㅋㅋㅋ,496,없음
43,히카리,9:11 여기 김구라 표정 개잼.. ㅋㅋㅋㅋㅋㅋㅋ 자막에 '지긋지긋'도 너무 웃기고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,603,없음
44,Ch-보컬,독도가 자기네 땅하고 가깝다고 우기는건 진짜 황당..,13,없음
45,박으널따까리,과거의 언어까지 알려주고 역사도 주었것만 은혜를 원수로 값는 우리 일본이들💝,110,없음
46,여이은아,와 진짜 심각하다..,3,없음
47,토끼는토낏토,무식한 사람이 신념을 가지면 위험한 이유,317,없음
48,Ophelia,영상초반에는 열받다가 나중에는 너무 어이가 없어서 웃기네요 ㅋㅋㅋㅋㅋㅋ 계속 저렇게 무식하게 행동하면서 세계적으로 자신들의 민낯을 까발려주길 :) 해외자막도 달려서 많은 사람들이 영상을 보면 좋겠네요,166,없음
49,dhcjwjwif,공인이고 취재허가받고 간 공식적인 자리에서 싸움할리가 없죠 우리쪽이 덩치도 훨씬 큰데도 불구하고 눈 안 부라리면서 밀친다고 손 쳐내지 않고 그렇다고 밀리지도 않고 참은 취재진들에게 박수 👏 👏 👏,34,없음
50,도리도리,솔직히 일본인들이 우리라와서 기분이 쪼금 나쁘긴 하지만 그래도 속으로 화내거나 째려보면 되지 굳이와서 화내면은 안돼지..,1,없음
51,TV Brothers,목숨을 바쳐독립운동을 해주신 사람들 모두 감사합니다,428,없음
52,anna bri,아니 어디있는지도 모르면서 교과에 그렇게 실렸다고 독도는 일본땅이라고 우기다니 진짜 웃기는 사람들일세.. 성인이 되어서 좀만 알아보면 아니라는 것쯤은 쉽게 알 수 있을텐데,1,없음
53,브베원정대,이 영상을 하루빨리 해외에 퍼뜨려야합니다 외국인들은 일본이 친절한나라라고 알고있습니다 외국인한테만 겁나친절하기때문이죠 일본 독도의 역사 보러온사람에게 잘해주지 못할망정 저렇게 비매너적으로 행동하다니 빨리 실체릉 알려서 남은 원자폭탄 하나를 터뜨려야합니다,614,없음
54,꿀떡아🍡,일본인들 앞에서 '그냥 갔다 붙였다. 유치하다' 라고해서 ㄹㅇ속시원 사이다  👍,367,없음
55,꾸병장,아.. 진짜.. 김구라 대단... 저 성질에 말 알아들었으면 개쌈났을듯,433,없음
56,🥀옐룸뮈🥀,촬영하시는 분들도 대단하셔요…저같으면 욕하고 난리났을탠딩..;;,2,없음
57,뚜까,"요즘들어 더욱 느끼는것이 일본과 중국 의식수준이 비슷하다는 것. 그동안 일본은 선진국이라는 이미지가 있어서 그랬지만 원전사고나 혐한운동, 과거사 인식에 대한 부분에서 적나라하게 저질스런 의식 수준을 드러냈다. 진짜 중국과 일본 둘다 막무가내로 우기고 빼앗으려는  국민성이 소름끼친다. 우리는 최대한 객관적인 자료를 확보하고 홍보하는데에 최선을 다해야할듯",154,없음
58,off sent,일본이 독도를 자기땅이라고 인정받을수 있는 가장 좋은 방법은 다시 일제강점기를 이루면 된다 그전까진 어림도 없어~ 전세계가 일본편을 든다 해도 독도가 대한민국 땅인건 변하지 않는다,0,없음
59,깡국다람쥐,제작진분들 다음엔 설민석씨랑 마동석씨 데리고 한 번 더 갑시다,1.1만,없음
60,송정호,역시  올바른  역사교육이  중요함을  보여주는군.,12,없음
61,문,우리가 왜저런애들 때문에 우리집이 우리집인걸 설명해야 하지?  화난다 ㄹㅇ,278,없음
62,정민,아직도 알고리즘에 꾸준히 뜬다니. 좋다.,87,없음
63,멜로얄루알로요호호히,이런 유튜브 는 계속 주기적으로 올라와야함,49,없음
64,너구리TV,일본 사람들은 독도에 가 봤는지가 궁금하다  그럴거면 왜 한국에 와서 독도를 가고 일본에서는 독도를 못가는지 궁금하다...,10,없음
65,박경미,킬포는 3:50 ㅋㅋㅋㅋㅋ 무례하기가 저세상급인데 꿈쩍않는 묵직함 👏👏👏,486,없음
66,한han,일본에 십년 넘게 살다 왔는데 독도가 어디인줄 모르는게 진짜 현실이다 저런사람들 몇몇 사람들 대문에 시끄러운것같다,26,없음
67,Veroni,독도는 한국 땅입니다. 일본인들은 일본땅이라 하지만 일본인들은 정작 독도가 어디에 있는지 모릅니다! 대한민국 만세!,328,없음
68,누구세요,3:53 안밀리는거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ,486,없음
69,Corona,밀치긴 하는데 꿈쩍도 안하는거보고 개터졌네 ㅋㅋㅋㅋㅋ,61,없음
70,백호,아니 예를 들어 일본이 미국과 전쟁해 일본이 미국을 독재하며 하와이를 미국땅 이라 표기도 하고 했는데 미국이 자유국가 가 됐는데 하와이 보고 자기네 영토라하고 어디있는지도 몰라하는 거랑 뭐가 다른거지? 이러니 다른 착한일본인  까지 욕먹는거라 나만 생각 하는건가?,1,없음
71,Teel Light,오늘도 우리나라의 고유 영토인 독도를 지켜주시는 방위대 여러분들 항상 감사합니다.,48,없음
72,HAPPY NEW YEAR,위치도 모르면서 자기땅이라고 논리적이지 않게 우기는것이 정말 싫네요,8,없음
73,몰?루,"일본은 왜 한국인들한테 급발진함? 한국은 지나가는 일본인 잡아다가 ""꺼져!!!!!독도한국땅이야!!!""이지랄 안함  +물론 우리나라의 몇몇무개념인 사람들은 저렇게 할 수 있음 그치만 우리는 저렇게 모여서 다 큰 어른들이 그러지는 않음",5.4천,없음
74,K P.,일본은 에도막부인 서기 1600년대부터 독도가 자기땅이라지만 우리는 서기 400년부터 독도가 한국땅이라는 증거가 넘처나서 책한권에도 다 못적을정도로  증거가 많습니다.또 일본정부도 과거 독도와 울릉도가 조선땅(한국땅)이란걸 명백하게 인정했습니다.,40,없음
75,장홍석,이거 끝까지 본사람들은 인내심이 레전드다...,30,없음
76,수비니,자료관까지 있다니 대단하다 대단해…,0,없음
77,홍길동,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쟤들 개그단체 아니냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 웃겨서 눈물콧물 다흘리면서 봤네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,180,없음
78,Ak Tech Gaming,뱤 캬 라퓰뱅 그냥 네이버 쳐봐도 나와요?,711,없음
79,생수코믹ت,독도가 우리땅이라는 증거 1. 우리나라 경찰이 지키고 있다 2. 일본 사람들은 여권을 챙기고 독도를 가야하는데 한국인들은 그냥 간다,1.5천,없음
80,ᄒᄒᄒ,저렇게 지네 땅도 아닌걸 맞다고 확실하게 우길수 있는선 다 저기 교육 때문이고 우리나라는 더 확실한 논리로 우리땅인 이유를 교육 받고 독도이 더 관심을 기울여야 이길수 있을거같네요,23,없음
81,oi oi,국가의 이름에 먹칠하는것은 국민이라는게 너무 와닿는 장면이다....,249,없음
82,최정우,대한민국의 모든 잼민이 여러분들 이 영상을 보고 할수있는 모든 욕을 일본한테 해주세요.,169,없음
83,chunsa82,왜 영어로 번역이 되지 않나요?  일본의 진실된 모습을 온 세상에 보여 주어야 합니다!! Please make this video (and all) English translation available!!!,23,없음
84,로블꿀잼!,"일본이 처음에는 ""독도는 주인이 없는 나라다."" 라고 했고요. 두 번째로는 ""사실 독도는 독도가 아니라 다케시마 였고 예전 부터 그 섬은 우리 섬 이였다."" 라네요. 그리고 인본이 대한민국의 도자기 만드는 것을 고문하고 따라 만들었다네요. ",1,없음
85,얼라이언스,관상은 진짜 과학이라는게 군대가서도 느끼고 여기서도 느낀다,36,없음
86,박상미,어렸을때부터 그런 주입식 수업을 했으니 일반인들은 그게 당연하다고 생각할수 밖에.... 일반인들 말고 정치인들 썪어 빠진 사회를 욕합시다!!,0,없음
87,그렇구나,아니 왜케 시비를 거는거야 일본인이 한국에오면 한국인이 일본인한테 아무 이유없이 독도는 한국땅 하는거 봤나 왜 죄없는 한국인한테 아무짓도 안한 한국인한테  다짜고짜 독도가아니라 다케시마라고 우기는거야 일본이 독도를 한국땅이라고 인정했는데 왜 눈이 없는것도 아니고 못보는건지 안보는건지 참... 니네가 독도 점거 하든가 한국한테 난리야,311,없음
88,김민성,저런 자신감과 용기는 어디서 나온걸까...?,50,없음
89,dsosw,그나마 저 빵 파시는 할아버지는 겸손하네,20,없음
90,스포츠꿀잼100%,처음 봤는데도 막말하고 손가락질하니까 보는 사람까지 화가 나네요 일본은 왜 이렇게 일본을 다케시마라고 하고 일본땅이라고 우길까? 자기네 땅이면 어디에 있는지도 알아야지 알지도 못하면서 무작정 자기땅이라고 하니 정말 화가 난다.,10,없음
91,뺭쟈니,아니 일본 국기 들고 올때 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋ진짜 어이없어서 웃음밖에 안 나옴,12,없음
92,떠떵TV,아....일본 진짜 너무너무 화가나내요.!!,0,없음
93,김현수,진짜 역사가 곧 힘이다. 아는게 없으면 눈 뜨고 코 베이는거임 독도는 한반도 동해 바다에있으며 울릉도 바로 옆섬입니다.,421,없음
94,mumu K,알고리즘에 많이 떴음 좋겠다 ㅋㅋㅋ 일본인들의 몰상식한 민낯.,31,없음
95,정옥선,여러분 독도는 신라 이사부장군이 찾아 안용복님이 지키신 우리의 역사가 담긴 우리나라 고유의 영토입니다.,532,없음
96,송의선,화가나서 볼수가 없네요.. 왜 저렇게 화를 내지ㅋㅋㅋㅋ독도가 어디에 있는지도 모르면서 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋ욕나오네,0,없음
97,오즈의맙소사,그와중에 김구라씨 화 한번 안내시고 차분하게 얘기하시는 모습 존경합니다~😊😊,9,없음
98,김우르,아닠ㅋㅋㅋㅋㅋ 가만히있는데 왜 시비걸고 난리야 ㅋㅋㅋㅋㅎㅋㅎㅋㅋ 겁나웃기네 ㅋㅋㅋㅋ,0,없음
99,high 1 doh,"참 좋은 프로그램인데, 더 진보시켜서 일본 일반인들 말고 진짜 일본 전문가들 불러서  토론 좀 해보자. 우리도 전문가들 나가고. 팩트를 갖고 토론하면 될 것 같은데. 일본 방송국 찾아가서 토론해보자. 지금은 그냥 서로 일반인들 끼리 벽보고 이야기만 하는거잖아.",2.5천,없음
100,흐고렛,김구라 짜증표정 너무 웃겨 자막 지긋지긋도 ㅋㅋㅋㅋㅋㅋㅋ레알 국민들 마음 대변ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,50,없음
101,방세진,너무 무례한거 아냐?;; 학교에서 남의 얘기를 경청해주자는 것도 배웠을텐데 어른들이  본보기를 보여야지 뭐하고 있는거야 적어도 조금이라도 존중하는 태도를 보여야지,183,없음
102,에밀리아,"제가 한때 일본학교를 다녀 봤었어요.  어머니께서 일본분이셔서 말이지요; 유치원때부터 초등학교 6학년까지 다녀봤었는데, 4학년때까지는 아무렇지안다가 한국 학교에서 독도나 그렇고 그런문제로 인해 자꾸 싸우게 되었어요..",14,없음
103,달빛소년,일본에서 살고있는 한국분들 존경합니다,2,없음
104,오병일,일본의 순기능...방송 콘텐츠의 창조아이디어 제공...거의 무기한... 역사를 바로 알아야된다는 국민으로서 자각을 준다..  그치만 모든 일본인이 저렇지는 않다는 것도 현명한 사람이라면 생각하고 있어야겠죠,0,없음
105,로제 안사람,4:06 꺼지랬으면서 자기가 꺼지는거 왜이렇게 웃기지 아,327,없음
106,모래,와...진짜...제가 어른도 아닌데 욕 아주 동네 흔들리게 할 뻔했네요,0,없음
107,롤리롤리몰리,일본인들이 다 화내고 있을때 김구라는 끝까지 참고서 독도는 한국땅이라고 차분히 설명하는 모습이 정말 멋지다,670,없음
108,임실 두메산골tv,7:52 음식 파시는분 착하시다   일본인분 인정하시다니 👍👍👍,65,없음
109,구선장,우리가 일본과 전쟁할 때 전쟁법이나 인권을 지킬 필요가 없다는 걸 잘 보여주는 영상.,1,없음
110,sarang757,우리도 교육 도서관 만들어서 교육 시켜야 겠네. ㅉㅉ,1,없음
111,슈퍼문,교육이 참 무섭습니다. 이유없는 믿음이 더 무서운 법이죠 우리도 독도에 대해서 더 많은 관심을 가저야 될것 같습니다,2,없음
112,고수연,독도는 아는데 왜 나라를 모를까 자기 나라도 아는데 진짜 나쁜 사람들,0,없음
113,조여정,와 진짜 화나서 미칠것같네 나 일본어 좀 할줄아는데 재들한테 가서 한마디 해주고 싶네;;; 진짜 일본애들 우익 되게 심하네 애들이 어쩜 저렇게 무례할수가 아휴;;;,257,없음
114,필터링없는새끼,마동석님이랑 같이 갔으면 아무도 못깝쳤을듯,307,없음
115,Jfevhe,일본 좋아하는데 과거에 있었던 일은 과거로 남길뿐 지금까지 끌어들여서 논란을 일으키는건 아니라고봐요. 하지만 독도에 대해선 이건 아니라고 생각합니다.  서로 존중해가면서 사이좋게 지내면 얼마나 좋을지..,0,없음
116,재희 정,ㅋㅋㅋㅋㅋㅋㅋㅋ 일본인들개웃곀ㅋㅋㅋ,0,없음
117,송용호송용호,우리가 돈 많이 버는게 저녀석들에겐 복수입니다 이 힘든상황을 이겨내고 모두다같이 성공해서 복수합시다 여러분!!,12,없음
118,Sun J,"한국인이 지키고 있는 ""조선의 나라"" 라고 이미 되어 있는데...  일본을 싫어하지 않지만 엉토당토 않는 한국이 지키고 있는 ""독도""에서 기념품이라는 말이 도저히 이해되지 않네요",0,없음
119,허상무,잘못된 역사를 바로 잡지 않고 밀어부치는 일본 정부는 정말 천벌 받아야 하는거고 그걸 그대로 믿는 일본 국민들도 한심합니다 일본이 국민성이 높다고 한국사람들이 예전에는 칭찬했지만 최근 보면 오히려 한국 국민들이일본 국민들에 국민성을  뛰어넘은것 같습니다,836,없음
120,junesong2,긴 말 필요없고 어서 힘 더 키워서 일본은 꼭 한번 침략해서 뭉겨줘야되는 나라.,5,없음
121,이서연,"우리나라와 일본이 독도를 두고 싸우는건 맞지만 솔직히 말하면 일본 쪽에서 자기네 땅이라고 우기는거고 우리는 계속 논리적으로 반박할 뿐, 그 이상도 이하도 아닌 듯 일본 우익들이 들을려고도 안하고 빼액하니까 끝나지 않는거지. 일단 일본 정부부터 그러는데 국민들에게는 뭘 바라지도 못하겠다.",185,없음
122,카고 cago,뭉쳐야 강한 힘보단 혼자여도 말할 수 있는게 진정한 강한 힘이고 내가 저자리에 있으면 이미 싸움 터졌을거 같다,14,없음
123,머저리보면 짖는 개,4:00 아닠ㅋㅋㅋㅋ 안 밀리니깐 끄응하면서 다시 가는거 겁나 웃김 ㅋㅋㅋㅋ,10,없음
124,Meena Meena,뱤캬-라퓰-뱅 은 워낙 유명해서 앞전부터 핫했는데 ;; 지금 선착 10자리만 받아준더던데 ?,508,없음
125,noodle,이걸 생방으로 풀로봤으면 얼마나 좋았을까,8,없음
126,별💫,일본사람들 뺨때리며 🐶소뤼하지말라고 소리치고시펑ㅠㅠㅜ,0,없음
127,DANA,한국: 너네들은 독도갈때 여권가지고 가야하지? 일본: ㅇㅇ 한국: 우리는 여권없어도 갈수있음 일본:ㅂㄷㅂㄷ(다맞는 말이여서),1.4천,없음
128,ᄋᄋ,아는게 힘입니다. 무작정 당연히 독도는 우리 영토다 에서 그치는 것이 아니라 우리나라 영토임을 주장하는 자료는 기본적으로 숙지해야하며 그 주장에 대한 일본의 반론 역시 파악해야 합니다. 깊게 들어가면 그리 간단한 분쟁이 아닙니다.,1,없음
129,우승화,방송 관계자분들 수고하셨습니다ㅜㅜ,0,없음
130,크크루삥뽕,가래가래 거리는거진짜로 개웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
131,화산귀환 청명 사랑 덕질,일본경찰 님은 독도가 한국땅 인걸 알고  사죄 하는게 정말 존경스럽다,6,없음
132,박제TV,화내던 사람들한테도 물어봐야하는데 독도가 어딨냐고ㅋㅋㅋㅋ,1,없음
133,김,초딩때 담임쌤이 영국에서 공부하실때 영국에서 역사 공부 할때 독도는 한국땅이라고 영국에서도 그렇게 배웠댔음 근데 반에 일본인이 있었는데 독도는 지네땅이래서 영국선생님이 아니 독도는 한국 땅이고 너네가 잘못 배운거라고 했댔음,1.1천,없음
134,오라오라오라무다무다무다,김구라가 침착하게 대처를 잘했네요 화가나도 참는게 좋은 대처를 한것같네요,0,없음
135,배성훈,"시민의식도, 예의도, 다른 나라 사람들에 대한 예우도 일본의 현실을 말해주네요",1,없음
136,[한쿡인 Mr. Oscar7],독도가 일본땅이라고 우기면 우린 일본땅이 우리땅이다,0,없음
137,merten kim,독도에도 해병대 나 특전사 같은  특수 부대가 주둔을 해서 더욱 강력하게 독도를 ,35,없음
138,다다 도도TY,아 진짜  어이 없네! 억울해 일본이 더 엉털인데! 기가 막혀서 참!,0,없음
139,펭가이드,아니 독도를 떠나서 인간대 인간으로 저따구로 대하는건 거의 1개월된 신생아가 예절가르친급인데?,661,없음
140,물개,김구라님 어이없다는 표정ㅋㅋ귀여우시다,0,없음
141,달사진,우리가 일본인을 싫어하는이유 근데 몇몇사람들때문에 마음이 아픔 한국이 좋아서 한국어를 배우고 역사를 배우는 몇몇사람들때문에 마음이 복잡해짐,354,없음
142,ᄋᄋ,0:57 이 분은 에도시대 때의 역사부터 라고 말씀하셨는데 우리나라는 신라 장군 이사부가 발견한 이래 신라의 땅으로 편입한다는 내용이 삼국사기에 있는데 ㅠㅠ큐큨ㅋㅋㅋㄹㅋ,214,없음
143,Irin,“진심으로 복싱을 배우고 싶었던날”,540,없음
144,잠자는숙소의 공주,다 소용없음~  곧  독도두  일본영토라구  주장하고 나설판인데~ 나라의 참담한  현실이  답답하다~,0,없음
145,성우 이,3:10 김구라가 더 크니까 눈 못 마주치고 그냥 나가라고 하는거 개웃기네 개그맨이야?,258,없음
146,J A A T F F,나라에서는 해주는것도 없고 자영업자인데 해당도 안되는와중에 뱤@캬라@퓰@뱅 알고나서 아빠노릇합니다..ㅋ,267,없음
147,슈가보이,와 독도가 어디있는지도 모르고 자기네 땅이라고 우기는게 진짜 충격이었다.. 자기집 주소도 모르는 주인이 어디있음??,767,없음
148,흠냐뤼,3:57 꿈쩍도 안함! 개웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,69,없음
149,이름 추천 받아요!,너무 속시원해요!  감사합니다!,10,없음
150,이승헌,와아~ 일본인들 웃기다 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
151,전깨비,아나 진짜 하... 김구라님  힘내세요,7,없음
152,네츠콩,일본인들  왜케  급발작함 ㅋ ㄱ ㅋ 찔리는거있어? ㅋ  한국인들은  걍 차분하게 아 한국땅이지  뭔. . 하고   넘기던데 ㅋ ㅋ,1,없음
153,kkkmmmjjj,일본인 들은 과거에 우리나라에게 한 끔직한 짓을 학교에서 가르치지도 않는다던데....그리고 옛날일본 지도에 독도는 한국땅이라고 적혀있던데...지들이 인정했으면서 인정할건 인정을 해야지 그리고 일본 1년에1cm씩 사라지고 있죠 제발 바다야 일본을 먹어줘ㅋㅋㅋㅋㅋ,206,없음
154,keith chung,"Dokdo can never be a part of Japan. In order for Japan to successfully claim Dokdo as their own, they must first prove that Ulleundo is a part their territory as well because Dokdo is the inseparable part of Ulleungdo. I personally believe that Japan's illegal occupation of Daemado is currently a much more serious concern to Korea than Dokdo purely on the reason that Dokdo is under Korea's territorial maritime jursdiction and Daemado is not. We must resolve the Daemado issue in very near future.",4,없음
155,YUNCHAN CHO,ㅋㅋㅋ 어디있는지도모르면서 자기땅이라우기는 일본의속 너무 재밌고,227,없음
156,배우수,와... 진짜 일본..... 다케시마 가 아니라 독도다.,1,없음
157,서연,3:54 심지어 밀치기까지?! 꿈쩍도 안 함! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,335,없음
158,ㄷ,저기서 쌍욕 안 날린 게 대단한데 진짜,0,없음
159,스파게티,김구라 원래는 참교육 시키고 싶었지만 참는 모습... 존경합니다,334,없음
