,댓글 작성자,댓글,좋아요 개수,하트 유/무
1,미노Cc,독도는 한국 영토입니다. Dokdo is Korean territory. 独島は韓国の領土です。 独岛是韩国的领土。,3.8만,없음
2,구란데,어딨는지도 모르면서 자기네들 땅이라고 주장하는 거 넘 재밌고,5.2천,없음
3,잼미니,지들이 독도 일본땅 이라면서 독도가 어디있는지 모르는게 더 레전드ㅋㅋㅋㅋㅋㅋㅋㅋ,4.1천,없음
4,신혁수,일본인들에게 우리는 이런 사람이 아니라는 것을 보여줘야 겠네요,31,없음
5,이름없음,김구라가 일본어 할 줄 알았어봐 진심 개막장 싸움 남,3.5천,없음
6,뱁새 맞음 어쨋든 뱁새 맞음,이 영상을 전세계 사람들이 보길 기원합니다,98,없음
7,̇Ⱉ ̇,독도가 일본땅이라고 말하는거조차 심각하지만 처음보는 사람에게 저렇게 함부로 대하는게 진짜 심각하다. 예의가 정말없다.,4.1천,없음
8,찬쓰,일본사람들의 저런 말듣고  안때린 한국인들이 진짜 대단하다...,1.8천,없음
9,준 이,일본의 식민지였던 대한민국이 이제는 선진국으로 인정받고 이정도로 성장한 것 자체가 대단하다 일본과도 몇십년 차이 나던것이 이제는 10년정도 차이나고,793,없음
10,いいあ,"이 영상만 보고 판단하지 말아줘, 인터뷰하고 일본땅이라고 주장하는 사람은 노인들뿐이야.  그리고 이렇게 입이 나쁜건 일부 사람이야, 나도 믿을 수 없어.  번역기를 사용했기 때문에 실수가 있을지도 모릅니다. 그럴 경우 죄송합니다.  저는 한국인도 문화도 좋아합니다. 싸우고 싶지 않습니다. 이 문제가 평화적으로 해결되기를 바랍니다.",144,없음
11,yunseok kim,한국에서 가장 건들면 안 되는 발언 탑3:동양인 비하 탑2:독도 탑1:부모님 안부,2.5천,없음
12,meer udu,나라에서는 해주는것도 없고 자영업자인데 해당도 안되는와중에 뱤@캬라@퓰@뱅 알고나서 아빠노릇합니다..ㅋ,921,없음
13,채아,와... 처음 본사람한테 저렇게 무례하게 대하고 일본 정부만 나쁜줄알았더니 ....시민 분들도 비슷하구나...,1.4천,없음
14,kang kang,김구라 진심 빡쳤다가 점점 빡치기도 귀찮아진게 킬포임ㅋㅋㅋㅋㅋㅋ,877,없음
15,노성욱,부끄러움 이라는걸 모르는 나라. 역사교육의 중요성을 깨우쳐 주는 나라.,875,없음
16,김치:0,어디있는지도 모르면서 자기네 땅이라고 우기는게 신기해요 ㅎㅎ 제가 좀 어려서 뭘써야 할지 모르겠지만 일본인들이 경제적이득땜에 독도가 자기들에 영토라고 우기는게 참...,35,없음
17,제리,독도가 어디있는지도 잘 모르는분들이 왤케 당당한지..,648,없음
