,댓글 작성자,댓글,좋아요 개수,하트 유/무
31,우당탕탕,"그녀이기에 레전드입니다!! 김연아선수 지금은 은퇴했지만, 선수시절 우리 두 눈으로 경기를 볼수있어서 너무나 행복했습니다",907,없음
32,나주,6:54 인형도 아름답게 줍는 그녀는 대체,5.5천,없음
33,대팔이,마오는 김연아의 라이벌이 아니다..마오가 먼저 세계적인 선수였었고 연아가 나중에 스타가 되다보니 라이벌로 엮는데 마오는 연와와 비교대상이 아니었다는건 전세계인은 알고있다..다만 일본인과 한국에서만 라이벌구도 였을뿐 세계에선 연아만이 독보적인 선수였다는걸 알아야 할것이다,1.4천,없음
34,paradox,아직도 연느가 눈물 흘리는 저 모습은 너무 마음 아픔... 나도 눈물 남 ㅠㅠ 어렸을 때부터 의연하고 어른스러운 연느의 모습이 존경스럽고 좋았지만 저 때 애써 웃을 땐 차라리 화나고 슬픈걸 보여줬으면 싶고 더 속상했던 기억 ㅜㅜㅜ,106,없음
35,rutta tata,외신에 비하면 우리나라 매체와 책임있는 해당관계자들이 너무나도 조용했던 사건. 국내에서는 그렇게 지독하게 권력을 과시하던 권력자들이 정작 이럴때 세계무대에서는 숨소리도 못낸다는걸 눈으로 직접 목격하던 사건. 2022년 지금도 전혀 변함이 없다.,26,없음
36,Park SK,전세계 모든 역대 올림픽 통틀어 클린연기를 하지못한 선수가 금메달 받은 유일한 경기. 세계선수권과 ISU주관 대회에서 한번도 우승하지 못했던 선수가 금메달을 받은 유일한 경기. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,20,없음
37,은콤이eunkomy,이 날 엄청 울었던 기억이 나네요. 너무 아쉽고... 덤덤하게 받아들이는 김연아 선수 보면서 정말 가슴 아팠었어요.ㅜㅜ,21,없음
38,z z,"김연아님은 진짜 스포츠계에 전설로 남으실 인물.. 어떤 스포츠 종목 다 비교해 봐도 저정도로 압도적인 기록을 세운 선수는 거의 없던 걸로 압니다. 진짜 과거 연습 보면 사람이 할수 있는 한계를 아득히 넘은 훈련을 하셔 왔던데, 너무 존경합니다",4,없음
39,최새봄,한나라 빼고 전세계 해설자가 분노한 때지 ㅠㅠ 다 이해못하던데 ㅋㅋ 김연아는 다른나라가 자기나라가 졌어도 ㅇㅈ하는분이라 설명이 안되지,4.3천,없음
40,A M,이때 생각만 해도 또 열받는다. 형광나방의 공포.,3.3천,없음
