,댓글 작성자,댓글,좋아요 개수,하트 유/무
230,항 쪼,세상에서 가장 빛나는 은메달,1,없음
231,유지인,너무 열받지마요^^누구도 그녀가 금메달인걸인정안하는게 팩트^^김연아선수를좋아했던 이유는....멋있는사람...결과를 받아들일수없는 점수지만 올림픽이란 대회이니 텃세도 생각했을거고 마지막 무대에 최선을 다했던거에 의미를 뒀을거에요^^,0,없음
232,닉넴따위슈바,"더러운 금메달 잊지않는다, 소트니, 이곳 심사위원들은 맘대로 점수를 빼거나 더한다고. 잊지않을거야 돌아와라 금메달 주인이 잘못됬다.",346,없음
233,SHISE,ㅋㅋㅋ 이거 보니 포토스튜디오 알바할 때 사장과 싸운기억나네 김연아가 못했다고  소트니가 회전도 빠르고 점프도 잘했다고 ㅋㅋㅋㅋ 김연아 2등이 당연하대서  왜 사람들이  당신보고 발로 보정한다는 지  알겠다고 ㅋㅋㅋ 그렇게 피겨 중계잘하면 빙신 연맹가서 빙신 같은 짓 하며 심사위원하랬는데 ㅋㅋㅋㅋ  그 스튜디오 망함,1.1천,없음
234,김정민,"뜬금없지만 김연아랑 아사다마오랑 가장 비교되는 게 멘탈적인 부분도 있음. 아사다마오는 실수하거나 분위기가 편안하지 못하면 실력 발휘를 못하는데, 김연아는 연습때의 독기부터 시작해서 멘탈이 대단해서 러시아의 험악한 분위기에도 실력을 충분히 보여준다는...",34,없음
235,곽경미,김연아~~사랑합니다~♡,2,없음
236,A J,이래서 금메달은 가질수 있는자만이 얻어야만 하는거다... 이런 거짓으로는 받았으면 않되는거였다.. 받았다고 해도 본인꺼가 아니기때문에 앞으로 내가더 성장하느냐?아님 나락이냐?불보듯 뻔한상황...,3,없음
237,ik k,직설적으로 말해주니 속이 뚫리는 듯 하지만.. 마음 한 켠이 참 슬프네. 주인 찾아가지 못한 금메달의 마음은 또 어떠하리,0,없음
238,Jffjkk Hugc,김연아 선수를 보면서 느낀건 결국 남는건 메달이 아니라 경기라는거..몇년이 지났지만 사람들은 연아 선수의 프로그램만을 기억하지 누가 금메달을 땄는지는 기억도 못함,1,없음
239,공주,덤덤한척 웃고있지만 나중에 우는모습 보니까 진짜 찡하다 ..저런 더러운곳일줄이야,12,없음
240,박지현,이게 해설이지 ㅋㅋㅋㅋ 멋진 사람들이야 저분들도,0,없음
241,이아동,이야 진짜 다시 봐도 10번봐도 김연아 존나 이쁘다 ㄹㅇ,3,없음
242,김오씨,이탈리아 선수보다 김연아 선수 해설에 진심으로 화난게 너무 웃겨섴ㅋㅋㅋㅋㅋ,1,없음
243,Jenna K,ㅋㅋㅋㅋㅋ 우리나라보다 이탈리아 해설이 더 우리 감정이네 ㅎㅎㅎㅎ 퀸연아의 마지막이라서 아쉽지만 저런 일이 있어서 세계적인 유명인이 된 것 같다 ㅎㅎ,21,없음
244,한,Long Live The Queen🙇‍♂️,0,없음
245,정의의영웅로빈,역시...해설위원들은 진실을 알고 말한다.....,0,없음
246,Kim_ki_hwan,얼마나 억울했을까...,0,없음
247,ㅋㅋㅋ,그와중에 김연아 선수 진짜 너무 이쁘다...,26,없음
248,이예지,"아직도 혈압이 쭉--------- 오릅니다..욕 못하는데..아는 욕,모르는 욕 다하고싶습니다. 스포츠에서 어떻게 이런 사기를 대놓고 친겁니다..이런일이 가능하다니....",5,없음
249,Jeahwan Oh,해당국가도 아닌 해설가가 저 정도로 부정할 정도면 진짜 엄청난 일이긴 하다.,0,없음
250,Soothee,또 와서 울고 있는 나...,0,없음
251,ᄂᄂᄌᄌᄌ,김연아 진짜 예쁘다,1,없음
252,변종현,이게 개빡치는게 정말 열심히 한 사람이 은메달을 목에 건게 진짜 너무 화가 나겠지....,0,없음
253,힌밀 HinFlour,진짜 ㅅㅂ 유도 한일전 때도 그렇고 사람 코치 없애고 ai가 직접 코치 맞아야 정확함,11,없음
254,지식저장TV,세계 최고임은 변함없다. 김연아 외쳐!,0,없음
255,흑당꿀사과,와근데 이탈리아 해설자분들 칭찬이 먼가 무서웤ㅋㅋㅋㅋ 엄청 적극적이야,1,없음
256,ㅇㅇㅇ,"이번에도 비슷한 일이 일어났네요,,",7,없음
257,김혜선,"소트니코바는 김연아를 제치고 금메달을 땄음에도 세계는 그녀를 인정하지 않았고, 은메달을 받았음에도 세계에서 김연아를 최고로 인정하는것 이게 제일 중요한것이라고 생각합니다. 김연아 선수 힘내세요...",0,없음
258,full sun,'왜 우리의 스포츠를 망가뜨리려고 하나요?' 진짜.. 맞말이다. 누가 봐도 소트니코바는 당연히 동메달도 못 딸 무대였는데 어떻게 완벽한 연기를 보여준 김연아를 제치고 금메달을.. 하지만 소트니코바도 알고 있을 거임. 본인이 딴 메달이 본인의 것이 아니라는걸. 손바닥으로 하늘을 가릴 수 없으니까.,0,없음
259,레드레인,정정당당 해야 할 스포츠계가 타락해 버렸다.,18,없음
260,신성웅,All time legend Queen Yuna,0,없음
261,sky bluerose,금메달을  협잡으로 강탈 ...이때 올림픽이 더럽혀졌다  생각함..이때의 분노가 아직도 있다  그렇지만 세계인들은 저 금메달이 김연아선수것임을 알지,6,없음
262,J Y,03:27 8년이 지난 지금도 적용되는 팩폭,1,없음
263,거니,ㅋㅋㅋㅋㅋㅋ진짜 심사위원 대단하다~,0,없음
264,김영민,본인이 양심적으로 메달 시상할때 김연아 목에 금메달 걸어줫으면 진짜 역사적으로 길이 남앗을텐데 흑역사남깃네 ㅋㅋㅋㅋㅋ,2,없음
265,백구,"어떤 스포츠든 공정하고 깨끗해 질수 없다는 명백한 증거 ,,,",0,없음
266,우유,이래서 나라가 힘이있어야돼 남에게서 무엇을뺏는힘이아닌 저런 빛나는분들을 지킬수있는힘...,0,없음
267,오오토로,일본방송에서도 인정안했는데 말이 안됀다규,11,없음
268,Ryan Son,"마지막 올림픽에서 은메달. 그리고, 조작인걸 알아도 쿨하게 웃으면 넘기는 김연아. 그냥 이건 최고였다.",0,없음
269,Yong Pak,볼때마다 밑에서부터 ...ㅜㅜ  세계가 인정한 우리 연아....하늘도 알고 세계가 알고....그 누군가의 본인의 양심일듯...,11,없음
270,김명환,지금도 화가난다 정상적인 사람이 심사한거 맞나?,2,없음
271,애응,저 은메달은 세계는 물론 김연아선수에게도 절대 잊지 못할 은메달일듯,0,없음
272,ㅇ,저렇게 완벽해질때까지...얼마나 고단한 노력들이 필요했을까... 그녀의 울음에 그 모든게 담겨있는 것 같다.,0,없음
273,박찬균,"이 경기의 챔피언이 누구인지는 누가봐도 확연하다. 다만, 오직 한 나라와 한 사람만 모르거나 억지를 부리고 픈 것일 뿐. 소트니코바는 부적절한 금메달을 한 번 목에 건 댓가로 올림픽 경기의 부조리함과 불공정한 심판이 언급될 때 마다 목메달고픈 부끄러운 기억과 따가운 눈총을 받게 될 것 이다. 왜냐하면 누가 부족했고 누가 완벽했는 지는 일반인의 시선 보다 훨씬 전문가인 선수의 눈엔 더 확연한 것일 테니까!  그 뚜렷한 차이를 자신의 목에 걸린 금메달을 어루만지며 애써 왜면해야하는 고통. 소트니코바가 밉다가 측은해지는 이유다. 이러한 결과가 조금이라도 설득력이 있을라치면 김연아가 최소 한 번이라도 넘어졌어야 하는건데!",3,없음
274,행인,이날의 경기는 잊지못할것같다...,0,없음
275,정국이엄마임.,김연아 선수 등장이전 피겨스케이팅의 전설이었던 지금도 김연아 선수와 함께 피겨스케이팅의 퀸으로 기억되는 카트리나 비트 선수도 2014 소치 김연아 선수의 은메달에는 분통을 터뜨렸죠. 모두가 인정할 수 없었던 금메달이었고 때문에 모두가 인정하는 피겨스케이팅 1위는 금메달보다 가치있는 은메달을 가져갔습니다.,0,없음
276,마스,이건 몇년이 지나도 빡치냐 10년지나도 20년 지나도 이 영상보면 아무리기쁜일이 있어도 없는 화가 치밀어오를듯,1,없음
277,몽실이,공부를  드럽개  열심히해서  고등학교  대학교에  떨어저도  슬프고  빡치고하는데 저건  신체척으로  아프고   공부는 아프지는안고  정신적으로  피해가지만  진짜  저정도로  열심히하고  은매달  . . .   그와중에  안슬픈척   손까지  흔들어  주고 . . .  진짜  영 웅  그자제,0,없음
278,황정호,김연아 너무 예쁘다,0,없음
279,그린티가체고야,아 ㅈㄴ 멋있어 우리 연느,4,없음
280,유령,높은 자리에 가장 높은 권력을 가진자라도 다른 자들이 인정하지 않으면 그 권력은 쓸모없다,0,없음
281,요리도:쥬아,해설 카운터 ㅋㅋㅋㅋ 유쾌 상쾌 통쾌 ㅋㅋㅋ 아쉽지만 나름 해외에서도 다른 많은 사람들이 알아준다는 부분도 기분 좋을 듯 ㅎㅎ,3,없음
282,이상민,149점을 따내야 금메달인 상황에서 144점을 받았는데 은메달이면 대체 쇼트 점수는 얼마나 천상계..?,0,없음
283,노랑오리,그 어느때 보다 은메달이 빛나는 순간이다,0,없음
284,bad bird,가슴이 웅장해진다...,0,없음
285,검은콩두유,"비교가 안되지 생판 처음 올림픽에 나와서 실수 연발하는 스케이터와 완벽한 클린 연기에, 세계 기록을 몇 번씩이나 갈아치운 스케이터와는.",31,없음
286,그린필드,이탈리아에 살면서 김연아 선수의 이탈리아 해설을 들으면서 이 사람들은 국적을 불문하고 정말 뛰어난 선수에 대해서는 정말 객관적이고 극찬을 아끼지 않는 걸 보게 됩니다. 심지어 어떤 해설자는 김연아를 천사와 같다고 합니다.  국민성의 차이인지 몰라도 다른 국가 해설자들도 마찬가지지만 이탈리아가 더 솔직하고 직접적인 평가를 합니다. 완벽하단(perfetta) 말을 몇번이나 반복 하는지. ㅋ,0,없음
287,Sunja Cho,연아  최고입니다 심사 엉털리 대한민국에선 모든국민연아가  금메달이라는 걸알아요,6,없음
288,Serena Lizinnqui,I don't need to speak Italian to know that what the commentators are saying is gospel truth. :/ I'm glad Yuna took it well.,2,없음
289,IllIllIIIl,안타까운건 금메달 보다도 세계기록이다. 모든 사람들이 보기에 완벽한 연기였고 모두가 인정했지만 심판들은 인정하지 못하고 최고의 연기를 묻히게 했다는점 그게 너무 안타깝다.,0,없음
290,KS Lee,피겨를 스포츠에서 예술로 승화시킨 김연아 선수.   김연아 선수 이전에는 예술 점수가 뭔지 잘 몰랐다.,0,없음
291,안짜르트,아니 왜 소름돋고 나도 모르게 눈물이 나냐. 내가 더 억울하다 형광 나방아 너 진짜... 빛만 쫓다가 열에 쓰러져버려라,1,없음
292,김이류,메달은 그렇다치고 똑바로 평가했으면 신기록 새로쓰면서 은퇴할 수도 있었는데 그게 참 빡침.. 그때 1차에서 저정도 점수받은것도 심판중에 한국인이 한분계셔서 똑바로 점수 줘서 그나마 상쇄된거고 1차에서도 원래 더 나왔어야했는데 예상보다 적게줘서 소트니랑 점수차별로 안나게 줬다고했음..아 ㅂㄷㅂㄷ아직도 기억선명하네,1,없음
293,별스타,소트니코바가 금메달 확정되고 뛰어가서 서로 껴안고 좋아죽는 사람이 누군지 아심? 바로 이경기 심사위원 입니다ㅋㅋㅋ 시발 즉당히 해야지 대놓고ㅋ 심지어 피겨 심사위원도 아님ㅋㅋㅋㅋㅋ,6,없음
294,포동,저 상황에서 클린 연기가 나온 것도 놀랍고 그냥 너무 잘했는데 누가봐도 금메달은 퀸연아 였는데... 왜 하필 소치에서 열려서 라는 생각이 들 정도ㅠ,1,없음
295,Google A.I.,지금봐도 열받는다. 분이 가시지 않는다 영원히...,0,없음
296,지우,저렇게 해서 이기면 좋을까? 아무도 모르게 행한 것도 아니고 모두가 비리를 아는데 참..부끄러워서 얼굴도 못 내밀고 다니겠네,2,없음
297,박해강,"금메달도 빛이 나야 금메달이고 빛이 나지 않는 금메달은 금메달이 아니다. 김연아 선수의 연기는 최고였고, 나는 믿어 의심치 않는다. 은메달도 값진 것이고 세계 모두가 그녀를 인정하였으니, 그녀가 진정한 금메달 우승자이다.",0,없음
298,버나드,스포츠는  죽었다 돈과권력에 죽었다 하지만 순위를떠나서  전세계는 김연아를 전설이라부른다,0,없음
299,내사랑김춘삼,메달은 뺏겼지만 진정한금메달이 누군지는 다아는거죠? 우리의스포츠를 망치려하나요 팩트!,45,없음
300,대추,김연아 선수 응원하려고 늦은 새벽까지 안 자고 기다렸는데 클린하게 경기 끝내고 인사할 때 가족들이랑 대단하다고 감탄 오지게 하다가 점수 뜨자마자 할 말 잃고 30분 정도 침묵하고 있었음 ㅋㅋㅋ,0,없음
301,장청자,대놓고 뺃어간 금메달.. 연아의 초연함.. 세상은 다알고있지.. 연아야 넌 내게 영원한 금메달이다...,3,없음
302,사노라면,소국가의 희생양의 긑판왕의 경기였다 김연의아의 루틴과 부드려운 텐션 고급스런 시그니처 최고였다 그애비해 러시아 선수는 마치 통나무같은 저급한 루틴을 구사했다 허나 그녀가 금메달이었다 오심의 기네스북 감이다,1,없음
303,独学ゴルファーkimü,애써 웃는게 짠하네 그래도 세상 모든 사람은 다 알거임 금메달의 진짜 주인이 누구인지,0,없음
304,내일로to tomorrow,"세계에 길이 남을 피겨계, 아니 인간계의 전설",0,없음
305,One,노력과 재능과 인성이 완성된 선수를 김연아라고 한다.,0,없음
306,이파랑새,우리연아! 얼마나 우리에게 큰 기쁨과 자랑스러움과 아름다움을 주었는지.  이 때에 열받은 걸 생각하면.,0,없음
307,알고있어,진짜 토악질 나왔었지 이때 ㅋㅋ..,293,없음
308,eunju,비교대상이 안된뎈ㅋㅋㅋㅋ 아진짜 웃곀ㅋㅋㅋㅋㅋ너무 맞는말만 골라서해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
309,whdhdhdh,런던1초랑 더불어 한국의 올림픽 역사상 가장 이해할수 없는 장면,0,없음
310,aquamarine,역시 정의는 김연아다,1,없음
311,ᄋᄋᄋ,"실력으로 받을 수 없는 점수를 받았고, 앞으로 평생 자신이 슬럼프라는 착각을 하며 살아야한다",0,없음
312,ㅇㅇ,이탈리아 해설가 너무 흥분해서 말할 틈을 안줰ㅋㅋㅋㅋ 심지어 자기네 나라 선수가 연아님 빼고 가장 유력한 금메달 후보였는뎈ㅋㅋㅋㅋㅋㅋㅋ,1,없음
313,가shiri야,아 씨발 심장아파... 빡친것도 있는데 누나 개이뻐ㅠㅇㅠ,3,없음
314,김수연,연아선수 ♥,1,없음
315,her카누맛있다,금메달의  가치는 본인만 알겠죠.누가 진짜  금메달의 주인공인지  시간이 지나도  기분좋은  승리는 아닐겁니다.,0,없음
316,jhjh jhjh,우리나라가 힘이 없어서... 죄송합니다 연아님....,1,없음
317,까레이스키,말도안돼...소치에서 열린게 말도안돼!!,2,없음
318,conut co,솔직히 지금 현재 러시아에 실력 장난 아닌 피겨 선수들 많은데 여전히 선수이름 소트니코바 말고 기억안남 그정도로 실시간 보여진 러시아의 금메달 강탈은 충격적인 사건이었음,0,없음
319,김종식,참 김연아선수님 대단하다 ㅠㅠ 하 도둑놈들,4,없음
320,L.M.G.P K.D.W,왜 공산국가였던 나라에서 올림픽을 열면 안되는지 깨닫게 해준 경기 그리고 힘없는 나라가 얼마나 비참한지 보여준 경기.... 우리나라의 위상이나 힘이 중국이나 일본 정도급이였다면 저딴 말도 안되는 장난칠수 있었을까... 그래도 한국에서 태어나 주셔서 고맙습니다,0,없음
321,기호 김,전세계사람들이 인정했던 김연아의 금메달이상의 스케이팅...정작 러시아선수 본인은 자기가잘해서 금땃다고 지금까지도살고있을려나 불쌍하네...,3,없음
322,아론다이트,여왕이시여 영원하소서....,1,없음
323,왕코마,누가 뭐래도 우리 연아님은 전세계의 베스트 오브더 베스트지!~~~,1,없음
324,민정,이걸보고도 화내는 댓글밖에 달수없는게 너무 미안한기분이다..ㅠ,0,없음
325,국방부는김진우와이승훈을뱉어내라,해설위원 말투에서 살기가 느껴져...,1,없음
326,오노,대한민국 전국민을 분노하게 한 그 장면,0,없음
327,서재윤,인생사 새옹지마 오히려 이거 때문에 아주아주 오래오래 연아가 최고라는게 기억될거다!!,54,없음
328,차,이 사건은 절대 잊혀지지 않을거다. 잊지 않을거다.,0,없음
329,비버,제대로 심판보고 점수 매겼으면 밴쿠버기록이랑 비빌수있었을텐데,3,없음
330,바람소리,금매달 가져간 소트니코바가 두고 두고 후회하겠죠 처음부터 금매달은 연아 것이 아니었음에도 아름답게 최고의 무대를 보여준 그녀가 아름다웠지,1,없음
331,미크바,지금봐도 열받아요... 얼마나 힘들었을까요 연아선수는,0,없음
332,박수현,이것만 보면 분노가 독이되어 오르고 일부러 안보러고 외면한다. 본래 러시아와 중국은 계략과 교활의 중심에 선 나라아니던가.,2,없음
333,디럭스,와 지금 .. 동계올림픽 보는데 이 영상이랑 중국 지금 행실이랑 너무 흡사해서 소름돋네 ㅋㅋ 역시 공산주의국가들은 끼리끼리구나 ㅋㅋ,6,없음
334,무야호,거의 지금의 하은별과 배로나임 진짜 퀸연아ㅠㅠㅠㅠㅠㅠ♥️,2,없음
335,김진한,김연아선수를 능가할선수가있을까요? 최고입니다. 김연아선수세계가알고있습니다. 울지말고 아파하지마세요. 최고입니다. 👍,0,없음
336,뭘봐예쁘냐,나 저때 초등학교 저학년이었는데 그때는 ‘잉 김연아선수 어차피 실력 겁나 좋으니까 별로 금메달 안아깝지 않나?’ 요따구로 생각했었는데 지금와서 보니까 존나게 빡치네,2,없음
337,성이름,2011년 일본 월드챔피언십 무산되고 러시아에서 개최했을때부터 뭔가 ISU랑 러시아간의 모종의 거래가 시작됬을거 같은 느낌적 느낌이 항상 들어요. 지금 여싱피겨계 러시아판으로 흘러가는거 부메랑으로 꼭 돌아왔음 좋겠네요,0,없음
338,루어매니아,역사에 길이 남겨야 할,0,없음
339,Fade,"아 c8 진짜 시간이 지나도 화나네... 펜싱,쇼트트랙도 빡쳤고...하... 공산국가는 어쩔 수 없구나...아 아니지? 미국도 그랬으니...",19,없음
340,판도라,이날 난 열 받아서 머리가 터지는 줄 알았음 욕하고 난리쳤음 피겨 역사상 가장 훌륭한 선수에게 그런 편파 판정을 서슴없이 내리다니 다시 봐도 뚜껑이 열렸다 닫혔다 하네요 그리고 연아님은 우리 가족빼고 세상에서 가장 사랑스러운 분 흐흐흐 좋아~,0,없음
341,uzinzin -,우리 연아의 은퇴 경기를....ㅠㅠ  수치 올림픽으로 평생 기록되겠죠..,3,없음
342,여정,수준있는 눈이 아니더라도 누가 금메달인지 모두가 안다.  올림픽 자체가 타락을 선택했기에 다시 돌려준다해도 받기 싫은 더러운 금메달이다. 연아의 은메달은 어떤 금메달 달보다 값지다. ,0,없음
343,막 만지셨잖아요,아름다운 경기이자 알고리즘이였다,0,없음
344,Jin L,"내가 다른 사람 몰라도 金연아 금연아는 인정한다 그전 올림픽 金메달 딸 때, 그전엔 늘 웃던 그가, 어릴 때의 목표 이뤄 울었던..그리고 올림픽 금 목표이뤄 눈물이 나더라 인터뷰하던",0,없음
345,이홍순,이탈리아 해설자도 진짜 통쾌하다 카타리나가 김연아보다 예술적인 면에선 부족하데 해설자도 약간 아쉬웠을듯,0,없음
346,J,스케이트 강국이라고 자부하는 나라에서 지금까지 올림픽 금메달 없어서 강탈을 해간 세계적인  사건입니다 감히 발끝도 못따라올 실력으로...,1,없음
347,홀란스럽다,"러시아스포츠 자체가 도박을위한 돈거래 수단입니다 이미밝혀진바있어요 자국에서하는 배구,탁구,아이스하키,축구 등등 해외대형 도박업체랑 짜고 치는 각본이라고 보도된적있어요  러시아스포츠 극혐합니다",767,없음
348,Lucky Lee,올포디운 선수!!! 김연아님 존경합니다!!!,1,없음
349,진진,제가 예전에 꿈이 김연아님처럼 되는거였는데... 너무하네요ㅠㅠ,0,없음
350,정소미,개웃김ㅋㄱㅋㄱㅋㅋㅋㅋㅋ공식 해설일거 아니야ㅋㅋㄱㅋㅋㅋㅋ이건 강도질이에요! 맞는말..,0,없음
351,건걸쭉이,이게 그 레전드 '실제로는 금메달'ㄷㄷ,1,없음
352,ᄋᄉᄋ,은메달이면 어떠하리 그 은메달은 세상에서 알아주는 세상 하나뿐인 더욱 가치있는 메달일터인데.,0,없음
353,과몰입하는 문요정,우리나라 사람들이 저 당시에 원통하고 화나는 마음을 다 합친 것보다 마음아플 연아퀸 생각하니 내가 다 빡치네 에라이,17,없음
354,서진숙,다시 봐도 기특하고 할말을 없게 할뿐이죠 예뻐요,0,없음
355,좋은사람79 exquisite man,"도둑메달 후 어느 것도 증명하지 못한 선수, 올림픽 전에도 한 번도 제대로 된 성과나 고득점도 기록해보지 못한 선수, 오직 러시아 금메달 위해 조작으로 전세계가 인정하지 않는 추악한 선수가 돼 버린 걸 지금은 알고 있을런지... 시간이 더 흐른 후엔 가장 부끄러운 기록과 기억으로 남지 않을까 한다. 별말 없이 흘린 눈물의 김연아가 고귀해 보일 뿐이다. 피겨여왕은 증명하는 것이 아닌 우러러 볼 대상이니 김연아의 역사는 모두가 기억할 것이다 .",0,없음
356,우연히PLAY,모두가 금메달을 예상했는데....,1,없음
357,virkin,연아가 우리에게 준 가장 아름다운 선물이었죠 그저 연아의 아디오스 노니노를 볼 수 있었음에 감사 또 감사.,1,없음
358,최강,레전드는 편파 판정에서도 당당함 갓연아,1,없음
359,바우와우,2020년에도 와서 빡치고감. 길이길이 기억속에남을것이다 썩은금메달과 가장빛났던 은메달.,4,없음
360,이병구,러시아란 나라가 존재하는한 스포츠 역사에 길이 남을 흑역사. 또한 전세계인의 분노를 받은 영상.,0,없음
361,Chris Park,이날 잠도 못잤었는데~~ 김연아 선수는 더 했을테죠? 역대 대한민국 최고의 선수는 김연아 아닐까요? 진짜 피겨는 늘 다른나라 일로 치부되었었는데 김연아 선수땜 몇년간 행복했었죠,139,없음
362,ZENICS,이탈리아 해설의 분노가 느껴진다,0,없음
363,너누,연아 그대는 전설이야 아직도 연아마큼 잘하는 사람 못봄~♡그대는 전설입니다~♡,2,없음
364,성준,이래서 믿을수 있는 사람의 평가인을 두어야해ㅋㄲㅋ ㅅㅂ 칭찬 누구보다 많이 했는데 은매달,0,없음
365,NAGMO,김연아가 우승해도 대박이였겠지만. 이일로 피겨에서 잊을수도 없게 되었죠~,2,없음
366,ᄋᄋ,진짜 이 사건과 펜싱의 1초는 너무 아깝다,0,없음
367,리예,해설위원님들 이 코로나 사태에 무사하시길 바라겠습니다🙏🏻 심사위원은 꼭 가길 바래요^^,4,없음
368,tjxpuck,6년전 일인데도 이때를 생각하면 아직도 화가 올라온다 (>_<),0,없음
369,노을빛,진짜 고1때보고 욕 저절로 나왔지...지금 다시 생각해도ㅠㅠㅠ,0,없음
370,mush mush,아 눈물나,0,없음
371,ᄋᄋ,소트니코바 경쟁 상대가 미국 같은 덩치 큰 나라의 선수였다면 결과가 어떻게 됐을까... 실력은 김연아 선수처럼 압도적으로 잘한다는 가정하에,0,없음
372,소금,어른들이 하는짓이 그래... 미안해요 연아양,1,없음
373,임어당,아...진짜 소치는 볼때마다 빡치네...하 졸 열받네...........그래도 연아는 우리의 보물인건 변함없다,68,없음
374,두밧두와리와리,은메달이 금메달보다 더 빛나고 예쁜 순간이 딱 이순간밖에 없다,0,없음
375,수줍은어피치,"김연아,, 1000년에 한 번 나올까 말까한 천재적인 재능과 끈기가 갖춰진 사람",0,없음
376,용가리,김연아 팬은 아니지만 대단하긴했지.,0,없음
377,전성진,보는 국민들도 개빡치는데 연아느님은 모든걸 초월했다는... 저 모습이..더 안타까웠음...ㅠㅠ,0,없음
378,헤응ㅇ,세계가 같이 분노해줘서 그저 고맙네,0,없음
379,oat,다시봐도 열받네 울갓연느님 금메달 내놔라,8,없음
380,1 no,김연아선수 점수발표하기전에 이미알고 눈물흘리는거 몇년이지난 지금다시봐도 마음이 너무아프다ㅠ,0,없음
381,노뇽노뇨,이렇게 영상으로봐서 차이가 많이 나는데 이상하다 생각하는겁니다. 실제로 현장에서보죠? 거의 프로랑 유치원생 수준급으로 차이나요. 기술을떠나서 대쉬에서부터 차이나요. 한쪽은 포르쉐고 다른애들은 티코에요.,14,없음
382,K쿨맘,세계가 연아가 금메달이라고 인정했다. 내가 지금도 이렇게 속상한데...,1,없음
383,Au Re,유일하게 금메달보다 가치가 높은 은메달을 받은 경기,0,없음
384,AndrewPark,"평창에 이어 도쿄 올림픽도 러시아 대표팀은 부끄럽게도 자국기를 달 지 못하는 굴욕을 당했지... 도핑도 도핑이지만,,,저렇게 심사 까지도 부정부패였던 팀 러시아... 저렇게 까지 금메달을 따고 싶었을까....만약 김연아가 미국이나 캐나다 대표 였다면... 재심사를 했었을 듯...",1,없음
385,박성진,분명 소트니코바도 어릴때부터 혹독하게 훈련받고 끊임없이 연습했겠지만 안타깝게도 상대가 김연아여서 금메달을 받음과 동시에 비난을 받음... 어쩔수가없는게 상대(김연아)가 넘사벽이었다..,0,없음
386,lym yuchan,내가 소트니코바였으면 ㅈ같아서 안받는다 했을거 같은데.... 나도 야구를 진지하게 했던 사람으로서 심판이 자꾸 우리측에 유리한 판정을 대놓고 해서 말한적이있음,1,없음
387,Rain Sun,금메달을 따위로 표현할수 있을만한 저 우월한 우아함은 연아만 가지고 있는거 같습니다,4,없음
388,Dekuch,세계가 아름답게 만든 은메달,0,없음
389,김경민,정말 아름답고 우아한  우리들의 여왕,0,없음
390,김승민,ㅋㅋㅋ 근데 우리도 88올림픽 때 우리한국선수한테  부정 점수 준것도 많앗움,1,없음
391,H,예전에는 소치 영상도 슬퍼서 못보고 중간에 끄곤 했었는데 더이상 화가 나지 않는 이유는 은메달과 함께 여왕의 품격을 남겼고 소트니코바는 금메달을 가지고 정말 나락으로 빠졌다고 생각함. 그 뒤로의 행보가 정말 안타깝고 불쌍할 정도로,0,없음
392,스-랩 스페인어 힐다,처음에 이탈리아 특유의 오디오 비지 않으며 주접떠는 것부터 도둑질 까지 완벽한 해설,0,없음
393,Maus152,은이 금보다 더욱 가치 있었던 경기인듯 하네요 러시아는 금메달의 가치를 떨군거,4,없음
394,I:No,내가 다 불편할 정도로 칭찬을 많이 해주시네 신가하다,0,없음
395,Ольга Мокина,Получать золото должен достойный золота.,2,없음
396,누수노우시뇽,"인류 역사상 가장 위대한 업적을 남기는 그 장면을 어느 누구 한치의 의심도 하지 않은 이 순간을…..     너.희.들.은. 강.도.짓,으.로   빼.앗.아.갔.다",0,없음
397,jin cho,진실은  왜곡될수 없어요 ~~~ 손바닥으로 태양을 가려라~ 연아 쵝오!!!,0,없음
398,Hyukk,7080세대에게 박찬호 박세리가 있었다면 90세대에겐 박지성과 김연아가 있다..,0,없음
399,HG KIM,공산 국가는 조작이 생활화되서 어쩔수없음 공산 국가에서 하계 동계 올림픽을 개최하는것 자체가 스포츠 중약소국 선수들에게 고통임,24,없음
400,Eric Kim,이때 제가 학교 도서관에서 일할 때였는데 정말 분해서 하루종일 일 하는게 집중이 안 됐던게 기억이 나네요.,0,없음
401,장민석,아직도 볼때마다 소름이돋아 화가나서,11,없음
402,오럭키아이,오랜만에 이영상을 다시 보네..와..이때 헐.. 김연아 점수나오고 나뿐만이 아니라 이때 같이 있던 사람들 다 욕하면서 자리에서 일어났던 생각이 나네..지금 봐도 열받는다.,0,없음
403,공무영,하지만 연아는 금빛 찬란하다.. 역시 우리연아........사랑해 대한민국의 딸..,0,없음
404,우주,진짜 나라가 힘이 없으니까 인정받아야 할 사람도 인정 못 받고,1,없음
405,배대시,연느님 고생 많았다 진짜,0,없음
406,ᅳᅳ,우앙..ㅠㅠ 오랜만에 보는데 연아 너무 이쁘자나..ㅠㅜ,1,없음
407,eiy shdg,더럽고 무식한 금메달 세사에서 제일 빛난 은메달,11,없음
408,Andrew,전세계인들은 메달따위 신경안씀.....여왕은 한명임. 우리 연아 최고다!!!,0,없음
409,luckylolol,제목을 이태리어로만 달아주셔도 이태리사람들은 진실을 알것같아요 동일 영상 만들어주세요 영어제목 영어자막이면 더 좋을듯 하구요♡♡,1,없음
410,차사고싶다,"김연아가 진게 아니다, 나라가 진것 뿐이다.",0,없음
411,김태수,여왕의 품격~ 억울 했을텐데 차후 행동이 더 존경스러움,0,없음
